houestype,area,unitprice,orientation,floor,zhuangxiucd,estate,region,street,yearbuilt
3室2厅1卫,95.8,16284,东北,低层（共34层）,精装修,万科锦程,渝中,大坪,2010
3室2厅2卫,143.22,13266,南北,高层（共32层）,毛坯,鲁能星城十一街区,渝北,龙头寺,2020
4室2厅2卫,143,19580,东南,中层（共8层）,毛坯,中粮天悦壹号,江北,石马河,2019
1室0厅1卫,42,11905,西北,低层（共30层）,精装修,煌华晶萃城,江北,观音桥,无
3室2厅2卫,142.23,24749,南,中层（共46层）,精装修,凯德九章,渝北,冉家坝,2022
3室2厅2卫,82,10488,南北,顶层（共6层）,毛坯,金地格林春岸,大渡口,九宫庙,2022
5室3厅5卫,218.46,17761,东,底层地上层数（共3层）,毛坯,融创嘉德庄园,渝北,空港新城,2012
4室2厅3卫,236.25,19810,南,中层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2017
1室1厅1卫,46.17,8880,南,低层（共6层）,简装修,慈竹苑,渝北,大竹林,2008
4室2厅2卫,142,11831,南,中层（共13层）,毛坯,保利堂悦照水园,南岸,茶园新区,2018
5室3厅5卫,265.05,16789,东,底层地上层数（共3层）,毛坯,重庆中海峰墅,南岸,南滨路,2017
3室2厅2卫,89,16854,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2020
6室4厅6卫,116.12,22391,南,底层地上层数（共2层）,毛坯,俊峰·山万里,沙坪坝,石井坡,2020
4室2厅2卫,182,20000,西南,高层（共45层）,精装修,万科御澜道·滨江组团,江北,江北嘴,有
3室2厅3卫,265.14,18104,南,顶层（共41层）,精装修,鲁能星城外滩,江北,寸滩,2018
2室2厅1卫,62.48,17286,南,低层（共32层）,精装修,煌华晶萃城,江北,观音桥,2020
3室2厅1卫,89,7079,南北,低层（共28层）,毛坯,荣盛城,大渡口,茄子溪,2023
4室2厅2卫,169,12899,南北,中层（共32层）,毛坯,重庆洺悦府,江北,大石坝,2022
4室2厅3卫,236.25,21503,南,中层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2017
4室2厅3卫,206.14,22315,东,低层（共45层）,豪华装修,寰宇天下天玺,江北,江北嘴,有
3室2厅1卫,85,12471,南,高层（共15层）,毛坯,常青藤·湖上初晴,渝北,农业园区,2023
4室2厅2卫,143,20280,南,高层（共6层）,毛坯,中央公园悦府,渝北,中央公园,2021
4室2厅2卫,102.21,18100,南北,高层（共8层）,精装修,万科璞园,渝北,中央公园,2020
6室3厅5卫,255,10510,东,底层地上层数（共4层）,毛坯,庆隆南山高尔夫国际社区钻石岛,南岸,茶园新区,2015
3室2厅2卫,93,18065,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2023
4室2厅2卫,123,12195,北,高层（共41层）,精装修,东原旭辉江山樾,渝北,礼嘉,有
3室2厅2卫,139,22158,东,底层（共5层）,精装修,天骄公园一期,渝北,大竹林,2018
4室2厅2卫,127.85,25811,东,底层（共4层）,简装修,财信北岸江山北区,江北,北滨路,2014
3室2厅1卫,87,8046,南,中层（共32层）,毛坯,洺悦城,巴南,鱼洞,2020
4室2厅2卫,143,19580,东南,中层（共8层）,毛坯,中粮天悦壹号,江北,石马河,2019
3室1厅1卫,99,18081,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2023
3室2厅2卫,83,15060,南,中层（共8层）,精装修,中建启宸,沙坪坝,西永,2023
5室2厅4卫,250.66,21543,东北,高层（共31层）,精装修,寰宇天下观澜苑A区,江北,江北嘴,无
4室2厅3卫,140,11357,南北,高层（共8层）,毛坯,爱情天宸万璟,渝北,回兴,2019
3室2厅2卫,90,14778,南北,顶层（共18层）,精装修,阳光城未来悦,渝北,中央公园,2020
4室2厅2卫,137,11606,东南,中层（共8层）,毛坯,融创江南融府,南岸,南岸其他,2019
5室2厅5卫,237,7553,东,底层地上层数（共4层）,毛坯,龙兴国际生态新城别墅,渝北,龙兴,2020
4室2厅2卫,90.54,13917,南北,高层（共7层）,毛坯,协信城立方揽院,沙坪坝,大学城,有
2室2厅3卫,217,23041,南,底层地上层数（共1层）,精装修,万科江上明月,江北,石马河,
4室2厅2卫,182,20000,西南,高层（共45层）,精装修,万科御澜道·滨江组团,江北,江北嘴,有
2室1厅1卫,76.82,13929,西南,高层（共33层）,精装修,渝州新都,渝中,大坪,2007
3室2厅1卫,82,15366,南,低层（共8层）,精装修,万科星光天空之城,沙坪坝,新桥,2023
1室0厅1卫,42,11905,西北,低层（共30层）,精装修,煌华晶萃城,江北,观音桥,无
4室2厅2卫,143,15524,南北,中层（共32层）,精装修,中交中央公园,渝北,中央公园,2022
6室4厅6卫,116.12,22391,南,底层地上层数（共2层）,毛坯,俊峰·山万里,沙坪坝,石井坡,2020
3室2厅2卫,93,18065,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2023
4室2厅2卫,181,14254,南,低层（共3层）,毛坯,保利堂悦杏园,南岸,茶园新区,2018
3室2厅2卫,92.38,10392,南北,高层（共8层）,毛坯,金地格林春岸,大渡口,九宫庙,2022
4室2厅3卫,236.25,19810,南,中层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2017
3室2厅2卫,99,13939,东南,中层（共18层）,毛坯,东原·映阅,渝北,农业园区,2023
4室2厅3卫,167,21317,南,高层（共47层）,豪华装修,凯德九章,渝北,冉家坝,2021
3室2厅2卫,122,16803,西,高层（共32层）,精装修,中渝山顶道壹号,渝北,黄泥磅,2018
3室2厅3卫,265.14,18104,南,顶层（共41层）,精装修,鲁能星城外滩,江北,寸滩,2018
3室2厅1卫,80.83,8908,南北,低层（共22层）,精装修,旭阳台北城三期,沙坪坝,大学城,有
3室2厅2卫,84.14,9389,南,高层（共13层）,精装修,美好·天赋,江北,寸滩,2021
3室2厅1卫,82,9512,南,高层（共26层）,精装修,协信城立方三期,沙坪坝,大学城,有
3室2厅2卫,87,12644,南北,中层（共5层）,毛坯,新山和悦,渝北,回兴,2022
2室2厅1卫,62.48,17286,南,低层（共32层）,精装修,煌华晶萃城,江北,观音桥,2020
5室2厅4卫,250.66,21543,东北,高层（共31层）,精装修,寰宇天下观澜苑A区,江北,江北嘴,有
3室2厅2卫,142.23,24749,南,中层（共46层）,精装修,凯德九章,渝北,冉家坝,2022
4室2厅3卫,267.26,19681,南,高层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2020
3室2厅2卫,91,15385,南,中层（共6层）,毛坯,东原月印万川,渝北,中央公园,2022
4室2厅2卫,140,12500,南,中层（共18层）,毛坯,保利堂悦薇园,南岸,茶园新区,2018
4室2厅2卫,144.79,18786,南北,高层（共33层）,毛坯,鲁能星城六街区,渝北,龙头寺,2012
3室2厅1卫,82.58,9445,南北,高层（共26层）,精装修,协信城立方三期,沙坪坝,大学城,有
2室2厅1卫,61.6,12338,东南,低层（共15层）,毛坯,居然雅素里,渝北,农业园区,2022
2室2厅1卫,83.1,15403,东南,中层（共32层）,中装修,华宇渝州新都,渝中,大坪,无
3室2厅2卫,89,16854,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2020
2室2厅2卫,71,11408,南北,中层（共18层）,毛坯,中梁海成南山云璟,南岸,学府大道,2022
4室2厅2卫,101,19307,东南,中层（共15层）,精装修,瑞同优米,江北,海尔路,2023
6室3厅4卫,244,17541,东,底层地上层数（共3层）,豪华装修,庆隆南山高尔夫国际社区钻石岛,南岸,茶园新区,2015
3室2厅1卫,85,12471,南,高层（共15层）,毛坯,常青藤·湖上初晴,渝北,农业园区,2023
3室2厅2卫,93,18817,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2020
3室2厅1卫,99,20707,西南,低层（共32层）,精装修,江北嘴新鸥鹏教育城二期,江北,江北嘴,2018
3室2厅2卫,148,21622,南北,低层（共39层）,豪华装修,阳光城天澜道11号,江北,江北嘴,2020
3室2厅2卫,82,10488,南北,顶层（共6层）,毛坯,金地格林春岸,大渡口,九宫庙,2022
4室2厅2卫,274.97,9383,南,底层地上层数（共2层）,毛坯,庆隆南山高尔夫国际社区橘香郡,南岸,茶园新区,2015
4室2厅3卫,242.84,20590,南,高层（共50层）,精装修,洋世达南滨特区,南岸,南坪东路,2017
3室2厅1卫,85,12471,南,高层（共15层）,毛坯,常青藤·湖上初晴,渝北,农业园区,2023
4室2厅2卫,102.21,18100,南北,高层（共8层）,精装修,万科璞园,渝北,中央公园,2020
3室2厅2卫,122,20082,西北,低层（共46层）,精装修,寰宇天下,江北,江北嘴,有
7室3厅5卫,366.81,17448,南,底层地上层数（共3层）,毛坯,重庆中海峰墅,南岸,南滨路,2016
4室2厅2卫,144.13,13738,东,底层地上层数（共2层）,毛坯,庆隆南山高尔夫玺馆,南岸,茶园新区,2018
3室2厅1卫,91,15385,北,高层（共33层）,精装修,华侨城天际湾B区,渝北,礼嘉,有
4室2厅3卫,125.92,12548,南,底层（共3层）,毛坯,新山和悦,渝北,回兴,2020
3室2厅2卫,87,16207,南,中层（共8层）,精装修,越秀悦映湖山,渝北,中央公园,2022
4室2厅3卫,236.25,19810,南,中层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2017
4室2厅2卫,182,20000,西南,高层（共45层）,精装修,万科御澜道·滨江组团,江北,江北嘴,有
4室2厅2卫,168.18,21287,南,高层（共18层）,毛坯,龙湖·尘林间,渝北,照母山,无
2室2厅1卫,64.66,9743,北,中层（共33层）,精装修,鲁能星城十三街区,渝北,龙头寺,2017
4室2厅2卫,90.54,13917,南北,高层（共7层）,毛坯,协信城立方揽院,沙坪坝,大学城,有
3室2厅2卫,99,13939,东南,中层（共18层）,毛坯,东原·映阅,渝北,农业园区,2023
4室2厅3卫,341,10997,南,底层（共11层）,精装修,龙湖两江新宸云麓,渝北,礼嘉,2016
3室2厅1卫,151.7,12195,南,中层（共29层）,简装修,鲁能城中央公馆,渝北,中央公园,2020
3室2厅2卫,94,11702,南,底层（共5层）,毛坯,保利时区,渝北,悦来,2022
4室2厅2卫,239.69,12433,南,底层地上层数（共3层）,毛坯,华侨城天澜美墅,渝北,礼嘉,2017
3室2厅2卫,124.21,13123,南,中层（共8层）,毛坯,中交中央公园雅颂,渝北,中央公园,2018
4室2厅2卫,140,18786,东,高层（共13层）,精装修,龙湖昱湖壹号枋园,渝北,礼嘉,2020
3室2厅2卫,88.83,18012,南,低层（共18层）,精装修,阳光城未来悦,渝北,中央公园,2018
3室2厅2卫,101.48,13697,南,低层（共18层）,精装修,东原九城时光,九龙坡,杨家坪,2015
3室2厅1卫,89.73,15491,南,低层（共26层）,精装修,招商·1872,九龙坡,石桥铺,2023
3室2厅2卫,92,16848,南,低层（共14层）,精装修,万科星光都会,九龙坡,石坪桥,2023
3室2厅2卫,91.44,12358,南,中层（共16层）,毛坯,奥园越时代,南岸,茶园新区,2018
4室2厅2卫,129,19302,南,中层（共8层）,精装修,保利中交云上雅集,九龙坡,石桥铺,2023
3室1厅1卫,99.51,9698,南,高层（共33层）,精装修,熙地锦绣城,沙坪坝,西永,2012
4室2厅2卫,145.03,14204,南北,高层（共11层）,简装修,九阙府洋房,南岸,南岸其他,2017
5室2厅3卫,181.72,14858,东,中层地上层数（共5层）,毛坯,保利堂悦别墅,南岸,茶园新区,2017
3室2厅1卫,88.94,13380,南,低层（共32层）,精装修,恒大照母山山水城,渝北,照母山,有
3室2厅2卫,103,17476,南,中层（共18层）,精装修,万科星光都会,九龙坡,石坪桥,2023
3室2厅1卫,82.3,12005,西北,中层（共18层）,精装修,奥园越时代,南岸,茶园新区,无
2室2厅2卫,92,11957,北,低层（共32层）,精装修,鲁能星城九街区,渝北,龙头寺,2009
4室2厅2卫,136,15221,南,低层（共29层）,精装修,龙湖昱湖壹号观云,渝北,礼嘉,无
4室2厅3卫,209.3,20545,东南,中层（共30层）,精装修,阳光城天澜道11号,江北,江北嘴,无
3室2厅2卫,109.87,12742,南,低层（共18层）,精装修,天骄公园,渝北,大竹林,有
4室2厅2卫,118.62,8852,南北,低层（共18层）,精装修,协信城立方,沙坪坝,大学城,有
1室0厅1卫,42,9167,东,高层（共33层）,中装修,融汇温泉城B区,沙坪坝,梨树湾,无
3室2厅2卫,99,16364,南,低层（共10层）,毛坯,国浩·白屿林,渝北,中央公园,2023
6室2厅5卫,218.46,17852,南,底层地上层数（共1层）,毛坯,融创嘉德庄园,渝北,空港新城,
4室2厅2卫,129.14,17810,东,中层（共7层）,精装修,中交漫山,南岸,茶园新区,无
4室2厅3卫,209.3,21500,东南,高层（共30层）,精装修,阳光城天澜道11号,江北,江北嘴,无
5室2厅6卫,330.47,32681,南北,中层（共28层）,精装修,长嘉汇朗峯,南岸,南滨路,2021
3室2厅2卫,98,14184,南北,高层（共18层）,精装修,中央雲璟,渝北,回兴,2021
4室2厅2卫,139.88,11796,东南,底层（共17层）,毛坯,保利堂悦杏园,南岸,茶园新区,2017
3室2厅2卫,116.7,23822,南,顶层（共56层）,精装修,万科翡翠云阶,渝中,化龙桥,无
2室2厅1卫,63.99,10002,西南,低层（共19层）,简装修,光华安纳溪湖观澜,南岸,茶园新区,2017
2室1厅1卫,62,12097,东南,中层（共33层）,中装修,中铁玖城壹号,九龙坡,陈家坪,无
3室2厅1卫,90.93,16716,东南,高层（共31层）,精装修,金融街金悦府,沙坪坝,杨公桥,2017
5室2厅2卫,151,18477,南北,中层（共28层）,精装修,公园大道上峯,渝北,中央公园,2021
4室2厅2卫,129,20930,南,高层（共18层）,精装修,保利阅江台,江北,石马河,2019
2室1厅1卫,76.3,11271,南,低层（共34层）,精装修,山千院东苑,南岸,回龙湾,2012
3室2厅2卫,120.9,8602,北,低层（共33层）,精装修,恒大滨河左岸,南岸,茶园新区,无
2室1厅1卫,90,15000,东北,中层（共33层）,精装修,阳光100喜马拉雅,南岸,南滨路,无
3室2厅2卫,83.7,13740,南北,中层（共13层）,毛坯,居然雅素里,渝北,农业园区,2021
4室2厅2卫,204.57,19553,东北,中层（共5层）,精装修,万科悦湾,江北,石马河,无
4室2厅2卫,116.59,11064,南,低层（共32层）,豪华装修,佳兆业滨江新城江城时光,大渡口,茄子溪,无
2室2厅2卫,71,11268,南北,中层（共18层）,毛坯,中梁海成南山云璟,南岸,学府大道,2022
5室2厅3卫,190.07,26569,南,高层（共8层）,精装修,香港置地壹号半岛,渝北,照母山,无
2室2厅1卫,68,11471,东南,高层（共18层）,毛坯,金科中央御院,南岸,茶园新区,2016
4室2厅2卫,143.69,14267,南北,底层（共6层）,毛坯,保利堂悦薇园,南岸,茶园新区,2017
3室2厅2卫,94,14681,东,高层（共14层）,精装修,保利拾光年,渝北,悦来,2019
4室2厅2卫,150,11000,北,高层（共12层）,精装修,华侨城·溪山集,渝北,礼嘉,有
3室2厅2卫,95.49,11729,东,高层（共33层）,精装修,佳兆业滨江新城江城时光,大渡口,茄子溪,无
4室2厅3卫,174.02,14309,南,底层（共1层）,毛坯,鲁能领秀城,南岸,茶园新区,2018
3室2厅1卫,76,12895,东南,中层（共11层）,毛坯,City,渝北,农业园区,2021
3室2厅1卫,95,11474,南,中层（共33层）,精装修,保利观塘香榭,南岸,回龙湾,2017
4室2厅2卫,110.93,11088,东南,低层（共23层）,精装修,鲁能领秀城四街区北区,南岸,茶园新区,2018
2室1厅1卫,89,11461,南,高层（共40层）,简装修,保利港湾国际,九龙坡,谢家湾,2011
3室2厅2卫,108,12593,南,中层（共15层）,毛坯,常青藤·湖上初晴,渝北,农业园区,2023
6室3厅6卫,515.68,57788,南,底层地上层数（共1层）,精装修,约克郡壹号湖畔别墅,渝北,照母山,
3室2厅2卫,80.8,18564,南北,顶层（共8层）,精装修,龙湖云瑶玉陛,渝北,中央公园,2019
3室2厅1卫,79.21,8837,南北,顶层（共18层）,精装修,协信城立方,沙坪坝,大学城,有
4室2厅3卫,158.36,21660,东南,高层（共31层）,毛坯,金辉长江铭著,南岸,铜元局,2017
3室2厅1卫,77,16364,东,中层（共26层）,中装修,康德国际,渝中,大坪,无
3室2厅2卫,128,17578,东北,低层（共41层）,豪华装修,世茂茂悦府,渝北,照母山,无
3室2厅2卫,88.87,14043,南北,底层（共18层）,精装修,阳光城未来悦,渝北,中央公园,2021
3室2厅1卫,121,16942,南,高层（共31层）,简装修,金科公园王府,渝北,龙头寺,2013
4室2厅3卫,125,15040,南,底层地上层数（共3层）,毛坯,南方公园美墅,渝北,回兴,2020
3室2厅1卫,67,13881,南,中层（共32层）,精装修,龙湖好城时光,沙坪坝,西永,无
3室2厅2卫,128.18,14433,南,中层（共48层）,精装修,世茂茂悦府,渝北,照母山,无
2室1厅1卫,73.08,9989,东南,低层（共34层）,简装修,山千院东苑,南岸,回龙湾,2013
3室2厅1卫,85.86,12089,东南,高层（共33层）,精装修,融创江南融府,南岸,南岸其他,2018
2室2厅1卫,81.91,9156,东,低层（共30层）,精装修,盛世龙都B区,九龙坡,双山,无
5室1厅2卫,172,19651,东南,高层（共36层）,精装修,融侨城二期花湖汀A区,南岸,铜元局,2013
3室2厅2卫,116,10345,西南,低层（共33层）,中装修,宝嘉江枫美岸,沙坪坝,沙滨路,无
3室1厅2卫,103.11,18233,东南,高层（共16层）,简装修,龙湖景粼玖序,渝北,中央公园,2021
3室1厅1卫,85,12353,西北,低层（共18层）,中装修,金科星辰,大渡口,双山,无
3室2厅1卫,95,11474,南,中层（共33层）,精装修,保利观塘香榭,南岸,回龙湾,2017
4室2厅2卫,172.88,16485,东南,中层（共15层）,精装修,龙湖景粼玖序,渝北,中央公园,无
4室2厅2卫,154.74,19064,南,中层（共41层）,精装修,融景城馨苑,江北,建东路,无
2室2厅1卫,55.73,10766,南,中层（共17层）,精装修,中铁北美时光,南岸,茶园新区,2015
3室2厅2卫,99,15152,南,底层（共6层）,简装修,铂悦滨江,渝北,悦来,2023
3室2厅1卫,84.49,10060,南北,中层（共26层）,精装修,融创伊顿濠庭,南岸,茶园新区,2014
3室2厅2卫,99.75,11930,东南,中层（共18层）,毛坯,新天泽首誉,南岸,茶园新区,2018
2室2厅1卫,60.45,10091,南北,低层（共30层）,精装修,旭辉城,巴南,龙洲湾,2015
